id,Stars_name,Distance,Mass,Radius,luminosity
270,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
271,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
272,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
273,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
274,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
275,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
276,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
277,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
278,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
279,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
280,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
281,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
282,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
283,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
284,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
285,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
286,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
287,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
288,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
289,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
290,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
291,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
292,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
293,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
294,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
295,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
296,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
297,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
298,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
299,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
300,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
301,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
302,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
303,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
304,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
305,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
306,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
307,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
308,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
309,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
310,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
311,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
312,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
313,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
314,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
315,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
316,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
317,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
318,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
319,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
320,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
321,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
322,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
323,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
324,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
325,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
326,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
327,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
328,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
329,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
330,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
331,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
332,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
333,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
334,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
335,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
336,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
337,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
338,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
339,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
340,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
341,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
342,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
